id;name;shelf_days;freezable;category;pack;unit;url;kcal;prot;fat;carb;unit_g
grechka;Гречка ядрица;365;0;Крупы и мука;800;г;;313;12.6;3.3;62;1
dikiy_ris;Дикий рис;365;0;Крупы и мука;500;г;;357;14.7;1.1;69;1
buryy_ris;Бурый рис;365;0;Крупы и мука;500;г;;337;7.4;1.8;73;1
smes_risa;Смесь бурого и дикого риса;365;0;Крупы и мука;500;г;https://vkusvill.ru/search/?isComplete=0&type=products&q=дикий+рис;345;10;1.5;72;1
bulgur;Булгур;365;0;Крупы и мука;500;г;;342;12.3;1.3;64;1
kinoa;Киноа;365;0;Крупы и мука;500;г;;368;14.1;6.1;57;1
grechnevye_spagetti;Гречневые спагетти (без глютена);365;0;Крупы и мука;350;г;;348;13;2.5;70;1
lapsha_grech_ris;Лапша из гречневой и рисовой муки;365;0;Крупы и мука;300;г;https://vkusvill.ru/goods/lapsha-iz-grechnevoy-i-risovoy-muki-105157/;350;9;1.5;75;1
funchoza;Фунчоза;365;0;Крупы и мука;200;г;;351;0.3;0.1;86;1
ovsyanye_hlopya;Овсяные хлопья (без глютена);365;0;Крупы и мука;400;г;https://vkusvill.ru/goods/khlopya-ovsyanye-iz-golozernogo-ovsa-bez-glyutena-34756/;366;12;6.2;61;1
ris_kruglyy;Рис круглозёрный для каши;365;0;Крупы и мука;800;г;;344;7;1;78;1
risovaya_muka;Рисовая мука;365;0;Крупы и мука;500;г;;366;6;1.4;80;1
mannaya_krupa;Манная крупа;365;0;Крупы и мука;700;г;;328;10.3;1;68;1
vermishel_bezglyut;Вермишель безглютеновая;365;0;Крупы и мука;300;г;https://www.ozon.ru/product/makarony-bez-glyutena-s-amarantovoy-mukoy-vermishel-esh-zdorovo-250g-3663936191/;350;8;1.5;76;1
kakao;Какао-порошок;365;0;Бакалея;100;г;https://www.ozon.ru/product/kakao-poroshok-a-p-selivanov-100-naturalnyy-respublika-ekvador-bez-sahara-100-g-563918470/;289;24;15;10;1
keshyu;Кешью;180;0;Бакалея;;г;;553;18;44;30;1
kuraga;Курага;180;0;Бакалея;;г;;241;3.4;0.5;63;1
shipovnik;Шиповник сушёный;365;0;Бакалея;;г;;284;3.4;1.4;48;1
urbech;Урбеч из расторопши;180;0;Бакалея;225;г;https://www.ozon.ru/product/urbech-iz-rastoropshi-bez-sahara-pasta-iz-rastoropshi-1952561704/;520;22;40;15;1
kletchatka;Сухая клетчатка;180;0;Бакалея;;г;https://www.ozon.ru/product/kletchatka-sibirskaya-kletchatka-vitaminnaya-polyana-280g-1018433538/;120;8;3;25;1
kisel_zheludochnyy;Желудочный кисель (сухая смесь);180;0;Бакалея;;г;https://www.ozon.ru/product/kisel-zheludochnyy-leovit-naturalnyy-rastvorimyy-napitok-bystrogo-prigotovleniya-dlya-zhkt-190807954/;340;0.5;0;85;1
kukuruznyy_krahmal;Кукурузный крахмал;365;0;Бакалея;200;г;;343;0.3;0;85;1
razryhlitel;Разрыхлитель;365;0;Бакалея;10;г;;80;0;0;20;1
vanilnyy_sahar;Ванильный сахар;365;0;Бакалея;10;г;;394;0;0;99;1
olivkovoe_maslo;Оливковое масло;365;0;Бакалея;500;мл;;884;0;98;0;1
humus;Хумус марокканский;14;0;Бакалея;200;г;https://vkusvill.ru/goods/khumus-marokkanskiy-s-vyalenymi-tomatami-76892/;260;7.5;20;13;1
mindalnoe_moloko;Миндальное молоко;90;0;Молочное и заменители;1000;мл;;24;0.5;1.1;3;1
velle_kokosovyy;Velle кокосовый;7;0;Молочное и заменители;250;г;;70;1;3.5;8;1
velle_pitevoy;Питьевой кокосовый йогурт «Velle»;7;0;Молочное и заменители;230;г;;55;1;2.7;6.5;1
bioyogurt_koziy;Биойогурт из козьего молока;7;0;Молочное и заменители;;г;https://vkusvill.ru/goods/bioyogurt-iz-kozego-moloka-yabloko-karamel-97291/;70;3;3.5;6;1
syr_koziy;Творожный козий сыр;7;0;Молочное и заменители;150;г;https://vkusvill.ru/goods/syr-tvorozhnyy-koziy-25168/;260;7;24;3;1
syr_adygeyskiy;Сыр «Адыгейский» козий;7;0;Молочное и заменители;;г;https://vkusvill.ru/goods/syr-koziy-adygeyskiy-43314/;240;17;18;1.5;1
tofu;Тофу;14;0;Молочное и заменители;300;г;;76;8;4.8;2;1
